stop_id,stop_name,FALSE,TRUE,over_2,under_2,total,pct_over_2,stop_lat,stop_lon,ons,offs,Project.Planning
SEPTA25288,Ogontz Av & Medary Av,100,NA,0,100,100,0,40.050128,-75.150547,94.27340360995903,37.38182840006241,NA
SEPTA255,Wister St & Chelten Av - FS,109,NA,0,109,109,0,40.051778,-75.157884,111.06013822778529,102.50556143203202,NA
SEPTA26043,5th St & Ruscomb St,120,NA,0,120,120,0,40.027345,-75.132573,83.36680149915445,50.68862950774715,NA
SEPTA261,29th St & Allegheny Av,135,NA,0,135,135,0,40.004746,-75.176983,123.7101962422396,302.3792017322203,NA
SEPTA268,Hunting Park Av & Fox St - FS,133,NA,0,133,133,0,40.00794,-75.171854,162.17218045112782,24.837687020581757,NA
SEPTA2780,19th St & Spring Garden St,112,NA,0,112,112,0,39.963604,-75.16945,84.7973791804428,103.15384818505956,NA
SEPTA2843,22nd St & Venango St,162,NA,0,162,162,0,40.009451,-75.164627,137.34471460987643,59.57604869406624,NA
SEPTA2889,29th St & Clearfield St,162,NA,0,162,162,0,40.003194,-75.177319,104.63247851500878,15.317084220995522,NA
SEPTA2891,29th St & Jefferson St,201,NA,0,201,201,0,39.979017,-75.182578,101.81544624953894,38.97330352901678,NA
SEPTA2895,29th St & Master St,199,NA,0,199,199,0,39.977661,-75.182878,129.94524354528815,40.71492435970412,NA
SEPTA2901,29th St & Oxford St,192,NA,0,192,192,0,39.980445,-75.182266,153.05537865604978,42.456730665199814,NA
SEPTA2903,29th St & Poplar St,190,NA,0,190,190,0,39.973344,-75.183826,138.24756007902903,13.437672661163395,NA
SEPTA2908,29th St & Thompson St,200,NA,0,200,200,0,39.976386,-75.183154,109.04257823219434,23.869239063065766,NA
SEPTA30187,City Av & Bala Av,144,NA,0,144,144,0,39.999922,-75.228958,113,66,NA
SEPTA30272,29th St & York St,96,NA,0,96,96,0,39.992578,-75.179637,91.14575180758858,52.67463721586712,NA
SEPTA30327,19th St & Moravian St - FS,113,NA,0,113,113,0,39.950758,-75.172225,83.94831460654375,72.88904510732587,NA
SEPTA30631,Penn's Landing - 2,323,NA,0,323,323,0,39.949797,-75.140487,126.02101858417771,37.28115129530827,NA
SEPTA30996,Olney Av & Rising Sun Av,148,NA,0,148,148,0,40.034443,-75.115093,207.641090503954,192.06454807103208,NA
SEPTA3108,22nd St & Berks St,112,NA,0,112,112,0,39.983464,-75.170347,93.67435693657367,75.20326154040502,NA
SEPTA3109,22nd St & Cambria St,114,NA,0,114,114,0,39.99862,-75.16683,80.68346261577616,193.99099799808633,NA
SEPTA3112,22nd St & Cecil B Moore Av,111,NA,0,111,111,0,39.98044,-75.170984,108.27156555422025,171.50784200509528,NA
SEPTA3146,22nd St & Norris St,106,NA,0,106,106,0,39.984954,-75.170011,110.81751287957385,87.34682379169486,NA
SEPTA3168,22nd St & Susquehanna Av,111,NA,0,111,111,0,39.988032,-75.169362,102.61479631513852,88.6659544155368,NA
SEPTA3171,22nd St & Tioga St,114,NA,0,114,114,0,40.007934,-75.164976,83.66837653399189,10.433954178781304,NA
SEPTA3196,29th St & Diamond St,204,NA,0,204,204,0,39.987912,-75.180645,86.04593300286672,47.85672964576866,NA
